Athlete_Key,Name,Sex,Age,Height,Weight,Team,NOC,Region_Country,Age_Group
40219,Rita Blankenburg (-Schmidt),F,21.0,162.0,59.0,GERMANY,GER,Germany,20-25
40220,Rita Blumenberg (-Mensching),F,23.0,175.0,70.0,GERMANY-3,GER,Germany,20-25
40221,Rita Borbs,F,27.0,167.0,63.0,HUNGARY,HUN,Hungary,26-30
40222,Rita Bottiglieri,F,23.0,170.0,62.0,ITALY,ITA,Italy,20-25
40223,Rita Chikwelu,F,20.0,160.0,56.0,NIGERIA,NGR,Nigeria,20-25
40224,Rita Czech-Blasel,F,21.0,174.0,68.0,GERMANY,GER,Germany,20-25
40225,Rita Czech-Blasel,F,25.0,174.0,68.0,GERMANY,GER,Germany,20-25
40226,Rita Czech-Blasel,F,29.0,174.0,68.0,GERMANY,GER,Germany,26-30
40227,Rita De Jong,F,27.0,179.0,76.0,NETHERLANDS,NED,Netherlands,26-30
40228,Rita De Jong,F,31.0,179.0,76.0,NETHERLANDS,NED,Netherlands,30+
40229,Rita Defauw,F,25.0,165.0,64.0,BELGIUM,BEL,Belgium,20-25
40230,Rita Deli,F,28.0,180.0,69.0,HUNGARY,HUN,Hungary,26-30
40231,Rita Drvucz,F,24.0,180.0,68.0,HUNGARY,HUN,Hungary,20-25
40232,Rita Drvucz,F,28.0,180.0,68.0,HUNGARY,HUN,Hungary,26-30
40233,Rita Drvucz,F,32.0,180.0,68.0,HUNGARY,HUN,Hungary,30+
40234,Rita Louise Crockett (-Buck),F,26.0,174.0,64.0,UNITED STATES,USA,USA,26-30
40235,Rita Maria Varhela Borralho,F,30.0,163.0,55.0,PORTUGAL,POR,Portugal,26-30
40236,Rita Mombiela De Luna,F,46.0,162.0,52.0,GUATEMALA,GUA,Guatemala,30+
40237,Rita Nikolayevna Achkina,F,25.0,168.0,63.0,SOVIET UNION,URS,Russia,20-25
40238,Rita Nikolayevna Achkina,F,30.0,168.0,63.0,SOVIET UNION,URS,Russia,26-30
40239,"Rius Theo ""Dick"" Esser",M,30.0,175.0,70.0,NETHERLANDS,NED,Netherlands,26-30
40240,"Rius Theo ""Dick"" Esser",M,34.0,175.0,70.0,NETHERLANDS,NED,Netherlands,30+
40241,Rival Cadeau (-Payet),M,28.0,187.0,71.0,SEYCHELLES,SEY,Seychelles,26-30
40242,Rival Cadeau (-Payet),M,32.0,187.0,71.0,SEYCHELLES,SEY,Seychelles,30+
40243,Rivaldo Roberto Genino Coetzee,M,19.0,183.0,73.0,SOUTH AFRICA,RSA,South Africa,<20
40244,Rivomanantsoa Andriamaonju,M,29.0,186.0,79.0,FRANCE,FRA,France,26-30
40245,Riyadh Al-Mustafa,M,29.0,171.0,64.0,BAHRAIN,BRN,Bahrain,26-30
40246,Riyadh Al-Mustafa,M,33.0,171.0,64.0,BAHRAIN,BRN,Bahrain,30+
40247,Riyadh Mohammed Asfahani,M,28.0,175.0,70.0,SYRIA,SYR,Syria,26-30
40248,Rmi Berthet,M,28.0,187.0,99.0,FRANCE,FRA,France,26-30
40249,Rmulo Bouzas Rodrguez,M,22.0,186.0,72.0,MEXICO,MEX,Mexico,20-25
40250,Rmulo Duncan Arantes Filho,M,15.0,185.0,75.0,BRAZIL,BRA,Brazil,<20
40251,Rmulo Duncan Arantes Filho,M,19.0,185.0,75.0,BRAZIL,BRA,Brazil,<20
40252,Rmulo Duncan Arantes Filho,M,23.0,185.0,75.0,BRAZIL,BRA,Brazil,20-25
40253,Rn Arnarson,M,19.0,193.0,87.0,ICELAND,ISL,Iceland,<20
40254,Rn Arnarson,M,22.0,193.0,87.0,ICELAND,ISL,Iceland,20-25
40255,Rn Arnarson,M,26.0,193.0,87.0,ICELAND,ISL,Iceland,26-30
40256,Rn Clausen,M,19.0,184.0,83.0,ICELAND,ISL,Iceland,<20
40257,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,ICELAND,ISL,Iceland,<20
40258,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,23.0,171.0,63.0,ICELAND,ISL,Iceland,20-25
40259,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,27.0,171.0,63.0,ICELAND,ISL,Iceland,26-30
40260,Rni Mr Rnason,M,20.0,194.0,85.0,ICELAND,ISL,Iceland,20-25
40261,Rni Mr Rnason,M,24.0,194.0,85.0,ICELAND,ISL,Iceland,20-25
40262,Rni R Rnason,M,23.0,182.0,79.0,ICELAND,ISL,Iceland,20-25
40263,Rnulf Reidar Andresen,M,24.0,183.0,80.0,NORWAY,NOR,Norway,20-25
40264,Ro Masivesi Dakuwaqa,M,22.0,190.0,105.0,FIJI,FIJ,Fiji,20-25
40265,Roald Edgar Aas,M,23.0,175.0,70.0,NORWAY,NOR,Norway,20-25
40266,Roald Edgar Aas,M,27.0,175.0,70.0,NORWAY,NOR,Norway,26-30
40267,Roald Edgar Aas,M,31.0,175.0,70.0,NORWAY,NOR,Norway,30+
40268,Roar Berthelsen,M,25.0,190.0,81.0,NORWAY,NOR,Norway,20-25
40269,Rob Compas,M,25.0,191.0,79.0,NETHERLANDS,NED,Netherlands,20-25
40270,Rob Gerard Marie Derikx,M,21.0,178.0,85.0,NETHERLANDS,NED,Netherlands,20-25
40271,Rob Gerard Marie Derikx,M,25.0,178.0,85.0,NETHERLANDS,NED,Netherlands,20-25
40272,"Robbert Arthur ""Bobbie"" Brebde",M,29.0,180.0,77.0,NETHERLANDS,NED,Netherlands,26-30
40273,"Robbert Franciscus ""Robert"" Bakker",M,25.0,196.0,92.0,NETHERLANDS,NED,Netherlands,20-25
40274,Robbert Stephan Blaisse,M,19.0,175.0,70.0,NETHERLANDS,NED,Netherlands,<20
40275,"Robbertus Marius Martinus ""Rob"" Ehrens",M,30.0,178.0,68.0,NETHERLANDS,NED,Netherlands,26-30
40276,"Robbie ""Rob"" Cordemans",M,21.0,190.0,93.0,NETHERLANDS,NED,Netherlands,20-25
40277,"Robbie ""Rob"" Cordemans",M,25.0,190.0,93.0,NETHERLANDS,NED,Netherlands,20-25
40278,"Robbie ""Rob"" Cordemans",M,29.0,190.0,93.0,NETHERLANDS,NED,Netherlands,26-30
40279,"Robbie ""Rob"" Cordemans",M,33.0,190.0,93.0,NETHERLANDS,NED,Netherlands,30+
40280,Robbie Ian Brightwell,M,20.0,188.0,81.0,GREAT BRITAIN,GBR,UK,20-25
40281,Robbie Ian Brightwell,M,24.0,188.0,81.0,GREAT BRITAIN,GBR,UK,20-25
40282,Robelis Despaigne Sanquet,M,23.0,200.0,99.0,CUBA,CUB,Cuba,20-25
40283,Robenlson Vieira De Jesus,M,20.0,166.0,56.0,BRAZIL,BRA,Brazil,20-25
40284,Robenlson Vieira De Jesus,M,24.0,166.0,56.0,BRAZIL,BRA,Brazil,20-25
40285,Robenlson Vieira De Jesus,M,28.0,166.0,56.0,BRAZIL,BRA,Brazil,26-30
40286,"Robert ""Bob"" Adams",M,27.0,175.0,70.0,CANADA,CAN,Canada,26-30
40287,"Robert ""Bob"" Beamon",M,22.0,191.0,70.0,UNITED STATES,USA,USA,20-25
40288,"Robert ""Bob"" Blatt, Jr.",M,26.0,181.0,76.0,UNITED STATES,USA,USA,26-30
40289,"Robert ""Bob"" Bodley",M,33.0,175.0,70.0,SOUTH AFRICA,RSA,South Africa,30+
40290,"Robert ""Bob"" Bodley",M,41.0,175.0,70.0,SOUTH AFRICA,RSA,South Africa,30+
40291,"Robert ""Bob"" Bolitho",M,23.0,175.0,79.0,CANADA,CAN,Canada,20-25
40292,"Robert ""Bob"" Boucher",M,24.0,175.0,77.0,CANADA,CAN,Canada,20-25
40293,"Robert ""Bob"" Boucher",M,25.0,175.0,77.0,CANADA,CAN,Canada,20-25
40294,"Robert ""Bob"" Cheyne",M,36.0,182.0,79.0,CANADA,CAN,Canada,30+
40295,"Robert ""Bob"" Crawford",M,21.0,185.0,70.0,UNITED STATES,USA,USA,20-25
40296,"Robert ""Bob"" Dupuis",M,27.0,177.0,76.0,CANADA,CAN,Canada,26-30
40297,"Robert ""Bob"" Eaton",M,16.0,168.0,59.0,CANADA,CAN,Canada,<20
40298,"Robert ""Bob"" Edmond",M,27.0,188.0,128.0,AUSTRALIA,AUS,Australia,26-30
40299,"Robert ""Bob"" Finlay",M,25.0,185.0,66.0,CANADA,CAN,Canada,20-25
40300,"Robert ""Bob"" Finlay",M,29.0,185.0,66.0,CANADA,CAN,Canada,26-30
40301,"Robert ""Bobby"" Aitken, Jr.",M,23.0,175.0,70.0,UNITED STATES,USA,USA,20-25
40302,"Robert ""Bobby"" Bath",M,25.0,175.0,70.0,AUSTRALIA,AUS,Australia,20-25
40303,"Robert ""Bobby"" Breiter",M,18.0,175.0,70.0,SWITZERLAND,SUI,Switzerland,<20
40304,"Robert ""Bobby"" Bridge",M,29.0,175.0,70.0,GREAT BRITAIN,GBR,UK,26-30
40305,"Robert ""Bobby"" Cloughen",M,19.0,179.0,76.0,UNITED STATES,USA,USA,<20
40306,"Robert ""Rob"" Braknis",M,23.0,190.0,89.0,CANADA,CAN,Canada,20-25
40307,"Robert ""Rob"" Chernoff",M,18.0,178.0,71.0,CANADA,CAN,Canada,<20
40308,"Robert ""Rob"" Crane",M,26.0,188.0,84.0,UNITED STATES,USA,USA,26-30
40309,"Robert ""Rob"" Edmonds",M,22.0,159.0,51.0,AUSTRALIA,AUS,Australia,20-25
40310,"Robert ""Rob"" Elder",M,23.0,194.0,115.0,FIJI,FIJ,Fiji,20-25
